id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
22146bc4-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.55,mg/100g,raw,0.55
22147d6c-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.051,mg/100g,raw,0.051
22148faa-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,14.0,mg/100g,raw,14.0
2214a120-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,12.0,mg/100g,raw,12.0
2214b340-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,9.0,mg/100g,raw,9.0
2214c4fc-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,92.0,mg/100g,raw,92.0
2214de88-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,dried or powder,0.0
2214f04e-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,dried or powder,0.0
2215037c-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,dried or powder,0.0
22151542-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.125,mg/100g,dried or powder,0.125
22152834-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,45.0,mg/100g,dried or powder,45.0
22153a86-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,42.0,mg/100g,dried or powder,42.0
22154bfc-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,27.0,mg/100g,dried or powder,27.0
22155e44-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,30.0,mg/100g,dried or powder,30.0
221570be-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
22158270-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.55,α-TE,raw,0.55
22159580-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.55,mg/100g,raw,0.55
2215a73c-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.051,mg/100g,raw,0.051
2215b8da-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,14.0,mg/100g,raw,14.0
2215cc9e-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,12.0,mg/100g,raw,12.0
