id,name,name_scientific,wikipedia_id,food_group,food_subgroup,food_type,culinarydb_ingredient_id,foodb_id
1ba8ab6a-92a8-11ee-8750-0242ac1c000c,Chia,Salvia hispanica,Salvia_hispanica,Herbs and Spices,Other seeds,Type 1,187,333
1ba8d180-92a8-11ee-8750-0242ac1c000c,Loquat,Eriobotrya japonica,Loquat,Fruits,Tropical fruits,Type 1,188,76
1ba8f6e2-92a8-11ee-8750-0242ac1c000c,Mango,Mangifera indica,Mango,Fruits,Tropical fruits,Type 1,190,106
1ba91c58-92a8-11ee-8750-0242ac1c000c,Muskmelon,Cucumis melo,Muskmelon,Gourds,Gourds,Type 1,192,64
1ba942d2-92a8-11ee-8750-0242ac1c000c,Naranjilla,Solanum quitoense,Solanum_quitoense,Fruits,Tropical fruits,Type 1,193,814
1ba9676c-92a8-11ee-8750-0242ac1c000c,Papaya,Carica papaya,Papaya,Fruits,Tropical fruits,Type 1,196,41
1ba98a9e-92a8-11ee-8750-0242ac1c000c,Passion fruit,Passiflora edulis,Passiflora edulis,Fruits,Tropical fruits,Type 1,198,128
1ba9adda-92a8-11ee-8750-0242ac1c000c,Peach,Prunus persica,Peach,Fruits,Drupes,Type 1,201,149
1ba9d10c-92a8-11ee-8750-0242ac1c000c,Pear,Pyrus communis,Pear,Fruits,Pomes,Type 1,202,152
1ba9f57e-92a8-11ee-8750-0242ac1c000c,Prickly pear,Opuntia,Opuntia,Fruits,Tropical fruits,Type 1,204,449
1baa19a0-92a8-11ee-8750-0242ac1c000c,Pineapple,Ananas comosus,Pineapple,Fruits,Tropical fruits,Type 1,206,12
1baa3cc8-92a8-11ee-8750-0242ac1c000c,Quince,Cydonia oblonga,Quince,Fruits,Pomes,Type 1,210,69
1baa6018-92a8-11ee-8750-0242ac1c000c,Sapodilla,Manilkara zapota,Sapodilla Cayes,Fruits,Tropical fruits,Type 1,214,468
1baa819c-92a8-11ee-8750-0242ac1c000c,Soursop,Annona muricata,Soursop,Fruits,Tropical fruits,Type 1,215,488
1baaa5f0-92a8-11ee-8750-0242ac1c000c,Star fruit,Averrhoa carambola,Averrhoa carambola,Fruits,Tropical fruits,Type 1,217,23
1baaca12-92a8-11ee-8750-0242ac1c000c,Tamarind,Tamarindus indica,Tamarind,Fruits,Tropical fruits,Type 1,218,180
1baaedbc-92a8-11ee-8750-0242ac1c000c,Bilberry,Vaccinium myrtillus,Bilberry,Fruits,Berries,Type 1,221,193
1bab103a-92a8-11ee-8750-0242ac1c000c,Blackberry,Rubus,Blackberry,Fruits,Berries,Type 1,222,938
1bab32fe-92a8-11ee-8750-0242ac1c000c,Sour cherry,Prunus cerasus,Prunus_cerasus,Fruits,Drupes,Type 1,226,146
